Module No,Module Nsme,"Complexity (Beginner, Standard, Expert)",Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Explanation,,,,,,,,,,,,
2,Combination & Separation of Insurance Contracts,Standard,Which contracts are within the scope of IFRS 17?,Only life insurance contracts,Only property and casualty insurance,"Insurance contracts, reinsurance contracts, and investment contracts with DPF",Banking products only,"Insurance contracts, reinsurance contracts, and investment contracts with DPF","IFRS 17 covers insurance contracts issued, reinsurance held, and investment contracts with discretionary participation features.",,,,,,,,,,,,
2,Combination & Separation of Insurance Contracts,Standard,When should an insurance contract be recognized?,When the contract is signed,"At the beginning of coverage period, when first payment is due, or when onerous",Only when claims are made,At the end of the coverage period,"At the beginning of coverage period, when first payment is due, or when onerous","Recognition occurs at the earliest of: coverage beginning, first payment due, or when a group becomes onerous.",,,,,,,,,,,,
2,Combination & Separation of Insurance Contracts,Standard,What is a 'portfolio' under IFRS 17?,All contracts in the company,Contracts subject to similar risks and managed together,Only profitable contracts,Contracts from the same year,Contracts subject to similar risks and managed together,A portfolio comprises contracts with similar risks that are managed together.,,,,,,,,,,,,
2,Combination & Separation of Insurance Contracts,Expert,"An insurer enters into two separate contracts with the same policyholder at the same time. Contract A provides insurance coverage, while Contract B negates the financial exposure of Contract A entirely. According to IFRS 17, how should the insurer report these contracts?",Treat the contracts as a single arrangement because they achieve an overall commercial effect,Report both contracts separately as independent arrangements,Recognize only Contract A since it was issued first,Disclose both contracts but report them under IFRS 9,Treat the contracts as a single arrangement because they achieve an overall commercial effect,"When contracts are designed to achieve an overall commercial effect (such as one negating the obligations of another), IFRS 17 requires treating them as a single arrangement to reflect the economic substance.",,,,,,,,,,,,
2,Combination & Separation of Insurance Contracts,Expert,"An insurer bundles multiple policies for a corporate client into a package with interdependent pricing. Some policies provide coverage, while others hedge specific risks associated with the insured entity. Under IFRS 17, how should these contracts be accounted for?",Each contract must be evaluated individually regardless of interdependencies,The bundled contracts should be treated as a single unit if they collectively achieve an overall commercial effect,Contracts should be separated since they have different durations,Each contract should be reported based on legal form rather than economic substance,The bundled contracts should be treated as a single unit if they collectively achieve an overall commercial effect,IFRS 17 mandates that contracts designed to work together as a package with shared pricing or risk mitigation should be combined to reflect their true economic impact.,,,,,,,,,,,,
2,Combination & Separation of Insurance Contracts,Expert,Which of the following scenarios would not require the combination of contracts under IFRS 17?,"Two insurance contracts issued simultaneously to the same policyholder, with pricing designed to work together",A reinsurance contract that fully offsets the risk of an insurance policy issued by the same insurer,An insurance contract and an investment product sold separately with no dependency in pricing or risk,A life insurance contract and a rider that cancels all coverage in the main policy,An insurance contract and an investment product sold separately with no dependency in pricing or risk,"If contracts have no interdependent pricing or risk structure, they do not need to be combined under IFRS 17. Separation is appropriate in such cases.",,,,,,,,,,,,
2,Combination & Separation of Insurance Contracts,Expert,A life insurer offers a package where a main policy includes both insurance coverage and an investment component. The investment feature provides financial returns that could exist independently without the insurance portion. How should the insurer treat this arrangement under IFRS 17?,Recognize it as a single insurance contract,Treat the entire contract under IFRS 9,Combine the investment component only if it exceeds 50% of total premiums,Separate the investment component if it can be sold independently,Separate the investment component if it can be sold independently,"IFRS 17 requires separating investment components if they can function independently, ensuring accurate financial reporting.",,,,,,,,,,,,
2,Combination & Separation of Insurance Contracts,Expert,An insurer issues two separate policies to the same corporate client—one covering property damage and another covering business interruption losses linked to that property. The premiums are interdependent and structured as a bundle to provide a cohesive risk solution. What is the appropriate IFRS 17 treatment?,The contracts should always be separated,The contracts should be combined if pricing is interdependent,The contracts must be accounted for under IFRS 9,The contracts should be combined only if policyholders request it,The contracts should be combined if pricing is interdependent,"IFRS 17 requires combining contracts that are designed to function together commercially, particularly if pricing reflects mutual risk dependencies.",,,,,,,,,,,,
2,Combination & Separation of Insurance Contracts,Standard,"When an insurance contract contains a distinct investment component, how should it be treated under IFRS 17?",Included in insurance revenue,Separated and accounted for under IFRS 9,Reported as part of the contractual service margin,Disclosed only in the notes to financial statements,Separated and accounted for under IFRS 9,"IFRS 17 requires separating investment components if they can function independently, ensuring accurate financial reporting.",,,,,,,,,,,,
2,Combination & Separation of Insurance Contracts,Standard,Which factor is most relevant in determining whether contracts should be combined under IFRS 17?,Identical premium amounts,Same reporting period,Negotiated together with the same counterparty,Similar types of risk coverage,Negotiated together with the same counterparty,"IFRS 17 requires separating investment components if they can function independently, ensuring accurate financial reporting.",,,,,,,,,,,,
2,Combination & Separation of Insurance Contracts,Standard,Which of the following is not a reason to separate components of an insurance contract under IFRS 17,Presence of a distinct service component,Presence of a distinct investment component,To comply with regulatory capital requirements,Presence of a distinct performance obligation outside insurance coverage,To comply with regulatory capital requirements,"IFRS 17 requires separating investment components if they can function independently, ensuring accurate financial reporting.",,,,,,,,,,,,
3,Level of Aggregation,Beginner,What is the main purpose of aggregation under IFRS 17?,To reduce the number of contracts reported,To ensure accurate timing of profit and loss recognition,To make contract management easier,To avoid having to assess individual contracts,To ensure accurate timing of profit and loss recognition,Aggregation helps ensure that profits and losses are recognized accurately and consistently in financial reporting.,,,,,,,,,,,,
3,Level of Aggregation,Beginner,Which of the following best describes the “level of aggregation” under IFRS 17?,Grouping all insurance contracts into a single portfolio for simplicity,"Grouping contracts by portfolio, expected profitability, and issue date to measure them consistently",Aggregating only contracts with similar premiums,Aggregating contracts only for reporting purposes,"Grouping contracts by portfolio, expected profitability, and issue date to measure them consistently",Level of aggregation ensures contracts with similar risk and profitability characteristics are grouped for consistent measurement.,,,,,,,,,,,,
3,Level of Aggregation,Beginner,"Under IFRS 17, contracts grouped into the same portfolio must share:",The same inception date,The same profit margin,The same policyholder,Similar risk characteristics and management structure,Similar risk characteristics and management structure,Portfolios are formed based on risk similarity and being managed together.,,,,,,,,,,,,
3,Level of Aggregation,Standard,How far apart can contract issuance dates be within the same group?,Any number of years,Two years,Not more than one year,Three years if risk is similar,Not more than one year,IFRS 17 requires that all contracts in a group are issued no more than one year apart.,,,,,,,,,,,,
3,Level of Aggregation,Standard,IFRS 17 allows contracts to be grouped together if they are issued within a short period. What is the main reason for this time restriction?,To simplify accounting for all contracts issued in a year,To ensure that contracts written at different times but with similar risks are assessed for expected profitability consistently,To allow the insurer to change discount rates mid-year,To reduce the number of groups for regulatory reporting,To ensure that contracts written at different times but with similar risks are assessed for expected profitability consistently,The short-period restriction ensures contracts issued close together are grouped so that expected profitability and risk assumptions are applied consistently within the group.,,,,,,,,,,,,
3,Level of Aggregation,Standard,"Under IFRS 17, how are contracts issued at different times but in the same portfolio treated?",They must always be grouped together regardless of issue date,Each contract is always measured individually,Grouping depends solely on profitability,They can be grouped if issued within a 12-month period and otherwise meet portfolio criteria,They can be grouped if issued within a 12-month period and otherwise meet portfolio criteria,Contracts can be grouped if issued within a short period (typically 12 months) and belong to the same portfolio with similar risks.,,,,,,,,,,,,
3,Level of Aggregation,Standard,What is the first step in the aggregation process under IFRS 17?,Grouping by issuance year,Subdividing portfolios,Grouping by portfolio,Assessing profitability,Grouping by portfolio,Aggregation begins by forming portfolios based on similar risks and management structures.,,,,,,,,,,,,
3,Level of Aggregation,Standard,"Under IFRS 17, why are insurers not allowed to reassess contract groups after initial recognition?",To maintain consistency and transparency in reporting,To reduce workload,To allow for more flexibility later,Because contracts cannot change after issuance,To maintain consistency and transparency in reporting,"Fixing the groupings at initial recognition supports consistent, unbiased financial reporting over time.",,,,,,,,,,,,
3,Level of Aggregation,Standard,How does IFRS 17 recommend handling groups of contracts under the Premium Allocation Approach (PAA)?,Assume they are always profitable,Assume all contracts are onerous,Group them based on product type only,Assume none are onerous at initial recognition unless facts suggest otherwise,Assume none are onerous at initial recognition unless facts suggest otherwise,"IFRS 17 allows insurers applying the PAA to assume contracts are not onerous at initial recognition, unless evidence indicates otherwise.",,,,,,,,,,,,
3,Level of Aggregation,Expert,Which of the following is true regarding contracts measured under the Premium Allocation Approach (PAA)?,"PAA contracts are grouped by portfolio and expected profitability, but timing of cash flows is simplified",They are always grouped with General Measurement Model (GMM) contracts,PAA contracts are measured individually without any aggregation,Onerous assessment is not required for PAA contracts,"PAA contracts are grouped by portfolio and expected profitability, but timing of cash flows is simplified","PAA simplifies measurement but aggregation rules still apply, contracts are grouped by portfolio, expected profitability, and issue date, with simplified cash flow assumptions.",,,,,,,,,,,,
3,Level of Aggregation,Expert,What additional check must be done for policies eligible for the General Measurement Model (GMM)?,Verification of market premium rates,Sensitivity testing and internal report reviews,Reinsurance matching,Underwriter interviews,Sensitivity testing and internal report reviews,Sensitivity testing and internal reporting are used to confirm profitability assumptions for GMM-eligible contracts.,,,,,,,,,,,,
3,Level of Aggregation,Beginner,Which of the following best describes a 'portfolio' under IFRS 17?,A collection of policies sold by one agent,Contracts grouped based on risk and management similarity,Contracts grouped by coverage period,All insurance contracts issued in one year,Contracts grouped based on risk and management similarity,A portfolio consists of contracts that have similar risk characteristics and are managed together.,,,,,,,,,,,,
3,Level of Aggregation,Expert,What should an entity use to assess whether a contract might become onerous later?,Market interest rates,Past claims history only,Likelihood of changes in applicable facts and circumstances,Broker recommendations,Likelihood of changes in applicable facts and circumstances,Entities must consider whether new or changing circumstances might render a contract onerous in the future.,,,,,,,,,,,,
3,Level of Aggregation,Expert,What happens if a contract becomes onerous after initial recognition?,The group composition remains unchanged,It is moved to the 'onerous' group retroactively,The contract is cancelled,A new group is created,The group composition remains unchanged,"Group compositions are fixed at initial recognition, even if a contract’s status changes later.",,,,,,,,,,,,
3,Level of Aggregation,Expert,"For contracts in the same portfolio, IFRS 17 allows groups to be re-evaluated in specific circumstances. Which scenario permits such a reassessment?",If new contracts are issued in the same portfolio after the initial recognition period,If the insurer changes its discount rate assumptions,IFRS 17 does not allow reassessment of groups after initial recognition,If management wants to offset new losses against existing profits,IFRS 17 does not allow reassessment of groups after initial recognition,"Once a group is formed at initial recognition, it cannot be reassessed, ensuring that expected profits and losses are not manipulated post-recognition.",,,,,,,,,,,,
3,Level of Aggregation,Beginner,What is the maximum number of groups required per portfolio under IFRS 17?,2,3,4,Unlimited,3,"Each portfolio must be split into at least three groups: onerous, no significant risk, and others.",,,,,,,,,,,,
3,Level of Aggregation,Beginner,Why does IFRS 17 prohibit grouping profitable and onerous contracts together?,To simplify actuarial modeling,To reduce disclosure requirements,To align with tax reporting,To ensure transparent loss recognition,To ensure transparent loss recognition,Mixing would obscure losses from onerous contracts.,,,,,,,,,,,,
3,Level of Aggregation,Beginner,How does the level of aggregation affect disclosure requirements?,It increases transparency in reporting,It reduces disclosure requirements,It eliminates disclosure requirements,It allows insurers to choose disclosure freely,It increases transparency in reporting,Aggregation ensures clear disclosure of profitability and risk.,,,,,,,,,,,,
3,Level of Aggregation,Beginner,What is the definition of a “group of insurance contracts” under IFRS 17?,Contracts grouped by distribution channel,Contracts grouped by issuance date only,Contracts grouped by profitability and risk characteristics within a portfolio,Contracts grouped by policyholder demographics,Contracts grouped by profitability and risk characteristics within a portfolio,"A group is the subdivision of a portfolio based on profitability and risk, ensuring consistent measurement",,,,,,,,,,,,
3,Level of Aggregation,Beginner,What is the first distinction made when grouping contracts under IFRS 17?,By distribution channel,By profitability (onerous vs. non?onerous),By policyholder age,By issuance date,By profitability (onerous vs. non?onerous),"The first subdivision of a portfolio is based on whether contracts are onerous, have no significant risk of becoming onerous, or are other profitable contracts",,,,,,,,,,,,
3,Level of Aggregation,Expert,"When determining groups at initial recognition, how should expected profitability be assessed?",Using prior year averages, Using actual results only,"Using unbiased, probability?weighted future cash flow estimates",Using management’s best case scenario,"Using unbiased, probability?weighted future cash flow estimates","Grouping hinges on forward?looking, unbiased, probability?weighted estimates of future cash flows to identify onerous vs. profitable groups.",,,,,,,,,,,,
3,Level of Aggregation,Expert,How does the level of aggregation influence the allocation and release of the risk adjustment?,It is measured and released at the group level reflecting uncertainty in fulfilment cash flows,It is allocated at the entity level and released uniformly,It is determined at the portfolio level and released by line of business,It is only relevant for onerous groups,It is measured and released at the group level reflecting uncertainty in fulfilment cash flows,The risk adjustment is measured at the group level and released over time to reflect non?financial risk inherent in each group’s fulfilment cash flows.,,,,,,,,,,,,
3,Level of Aggregation,Expert,"Under the General Measurement Model (GMM), how does aggregation affect the contractual service margin (CSM)?",CSM is measured per contract and aggregated later,CSM is measured and tracked at the group level and released with coverage units,CSM is optional for profitable groups,CSM is released only at portfolio level,CSM is measured and tracked at the group level and released with coverage units,"CSM is a group?level measure; its release pattern follows coverage units for that group, directly tying profit recognition to service provided.",,,,,,,,,,,,
3,Level of Aggregation,Expert,How should reinsurance contracts held be grouped relative to underlying direct insurance contracts?,Combined with the direct insurance groups,Grouped by the cedant’s distribution channel,Grouped separately under IFRS 17 with their own profitability assessment,Grouped only by inception date across all lines,Grouped separately under IFRS 17 with their own profitability assessment,"Reinsurance contracts held are accounted for separately from direct insurance, with their own portfolios and groups based on expected profitability.",,,,,,,,,,,,
3,Level of Aggregation,Expert,How does the one?year issuance rule interact with the recognition of the contractual service margin (CSM)?,It has no impact on CSM,It allows CSM to be aggregated across multiple years,It eliminates the need for CSM in short?term contracts,It ensures CSM is tracked separately for groups issued in different annual cohorts,It ensures CSM is tracked separately for groups issued in different annual cohorts,"Because contracts issued more than one year apart must be in separate groups, the CSM is recognized and released separately for each annual cohort, preventing cross?subsidization of profitability across different issuance periods.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Beginner,At what point does an insurance contract qualify for recognition under IFRS 17?,When the premium is fully paid,When the contract creates enforceable rights and obligations,When the contract us approved by management,When the policy document is issued to the policyholder,When the contract creates enforceable rights and obligations,"Under IFRS 17, an insurance contract exists once it creates enforceable rights and obligations between the insurer and the policyholder. Recognition is not dependent on premium payment, management approval, or physical issuance of policy documents. The key criterion is enforceability.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Beginner,When must a group of insurance contracts be recognized under IFRS 17?,At the end of the reporting period,When the last payment is received,When the policyholder signs the contract,"At the earliest of the coverage period start, first payment due, or when the group becomes onerous","At the earliest of the coverage period start, first payment due, or when the group becomes onerous",IFRS 17 requires recognition at the earliest of these three trigger events.,,,,,,,,,,,,
4,Recognition of Insurance Contracts,Beginner,"If there is no contractual due date for the first payment, when is it considered due?",At the end of the month,When it is received,After coverage starts,When billed,When it is received,"IFRS 17 states that if no due date is set, the payment is considered due when received.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Standard,When should an insurer assess if a contract is onerous?,After recognition,Before the earlier of coverage start or payment due,At the end of the financial year,Only when a loss is reported,Before the earlier of coverage start or payment due,The standard requires a pre-recognition assessment if there's an indication of onerousness.,,,,,,,,,,,,
4,Recognition of Insurance Contracts,Standard,Does IFRS 17 permit recognition of insurance contracts before they are issued?,"No, recognition cannot occur before issuance","Yes, if the premiums are measurable","Yes, if the contract is expected to be profitable",Only for reinsurance contracts,"No, recognition cannot occur before issuance","IFRS 17 explicitly prohibits recognition of insurance contracts before the issue date. Even if future premiums and cash flows can be estimated, the contract cannot be recognised until it has been issued and enforceable rights and obligations exist.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Standard,What is the impact of recognition timing on insurance acquisition cash flows (IACFs)?,"IACFs are always expensed immediately, regardless of timing",Recognition timing determines whether IACFs are deferred or expensed,"Recognition timing only affects disclosure, not measurement",IACFs are recognised only when claims are paid,Recognition timing determines whether IACFs are deferred or expensed,"The timing of initial recognition determines whether insurance acquisition cash flows are capitalised as an asset and allocated to contract groups, or expensed immediately. Incorrect recognition timing can therefore lead to misstated profits and assets.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Expert,What is the treatment if IACFs are not immediately expensed?,They are recognized as an asset or liability,They are deferred revenue,They are added to the CSM,They are amortized over the contract term,They are recognized as an asset or liability,IACFs are treated separately until the related group is recognized.,,,,,,,,,,,,
4,Recognition of Insurance Contracts,Standard,When is the acquisition asset or liability removed from the books?,When the last premium is received,When the policyholder cancels,When the related group of contracts is recognized,At the year-end,When the related group of contracts is recognized,The asset or liability is derecognized at the point of group recognition.,,,,,,,,,,,,
4,Recognition of Insurance Contracts,Beginner,What is the condition for including a contract in a group?,It must be active,It must be issued by the end of the reporting period,It must be profitable,It must be short-term,It must be issued by the end of the reporting period,Only contracts issued by the end of the reporting period are included.,,,,,,,,,,,,
4,Recognition of Insurance Contracts,Expert,What happens if new contracts added to a group affect the discount rate?,The rate must be updated and applied from the start of the reporting period,Nothing changes,It only applies to new contracts,The group must be split,The rate must be updated and applied from the start of the reporting period,The standard requires adjusting the initial discount rate retroactively to the start of the reporting period.,,,,,,,,,,,,
4,Recognition of Insurance Contracts,Expert,Which of the following is TRUE regarding onerous contracts?,They must be recognized immediately,They are ignored under IFRS 17,They are grouped with profitable contracts,They are only assessed annually,They must be recognized immediately,Onerous groups must be recognized as soon as they become onerous.,,,,,,,,,,,,
4,Recognition of Insurance Contracts,Standard,How often can the discount rate be changed for a group?,Monthly,Only if new contracts are added that change it,Once a year,Never,Only if new contracts are added that change it,The rate is updated only if new contracts added after the reporting period affect it.,,,,,,,,,,,,
4,Recognition of Insurance Contracts,Beginner,Why is the initial recognition timing important under IFRS 17?,It helps identify reinsurers,It is used to calculate tax,It helps with customer satisfaction,It determines when revenue and expenses are recorded,It determines when revenue and expenses are recorded,"Proper timing ensures that revenue, risk, and costs are reported accurately.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Expert,How can delayed initial recognition of a contract affect the identification of onerous groups?,"It has no effect, as onerous assessment is only done annually",It reduces the likelihood of contracts being onerous,"It only affects discount rates, not profitability",It can delay or distort the identification of loss-making contracts,It can delay or distort the identification of loss-making contracts,"Onerous assessments are performed at initial recognition. Delaying recognition may postpone or distort the assessment of expected profitability, potentially delaying loss recognition and undermining the objective of timely and transparent financial reporting under IFRS 17.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Expert,Some contracts in a portfolio are borderline profitable at initial recognition. How should IFRS 17 treat them?,Include in the profitable group automatically,Include in the onerous group,Group separately to assess for onerousness,Exclude until actual cash flows are observed,Group separately to assess for onerousness,"Borderline contracts must be grouped separately to assess if they are onerous, ensuring expected losses are recognised timely.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Beginner,When does an insurer first apply IFRS 17 recognition rules to a contract?,At the signing of the policy application,When the contract meets the definition of an insurance contract,When the insurer receives regulatory approval,At the end of the reporting period,When the contract meets the definition of an insurance contract,"Recognition begins when a contract meets the definition of an insurance contract under IFRS 17, not merely at application or regulatory approval.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Beginner,What is the minimum unit of account for recognition under IFRS 17?,Individual policyholder,Portfolio of contracts,Group of contracts,Entire insurance company,Group of contracts,"IFRS 17 requires recognition at the group of contracts level, which is the minimum unit of account.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Beginner,Which of the following is considered at recognition?,Fulfilment cash flows and contractual service margin (CSM),Expected future cash flows only,Discount rates only,Premium allocation approach only,Fulfilment cash flows and contractual service margin (CSM),"At recognition, insurers measure fulfilment cash flows and establish the contractual service margin (CSM).",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Beginner,What is the role of the portfolio definition in recognition?,It determines the reporting currency,It defines contracts subject to similar risks and managed together,It sets the discount rate,It determines acquisition cash flows,It defines contracts subject to similar risks and managed together,"A portfolio groups contracts subject to similar risks and managed together, forming the basis for recognition.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Beginner,Which recognition principle applies to short-duration contracts under IFRS 17?,They are exempt from recognition,They are recognized only at maturity,They are recognized only if onerous,They must be recognized using the premium allocation approach (PAA) if eligible,They must be recognized using the premium allocation approach (PAA) if eligible,"Short-duration contracts may use the PAA if eligibility criteria are met, simplifying recognition.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Expert,How does IFRS 17 treat contracts with coverage starting after the reporting date?,They are recognized immediately,They are recognized only when coverage begins,They are recognized when the first premium is due,They are recognized when the insurer becomes party to the contract,They are recognized when the insurer becomes party to the contract,"Recognition occurs when the insurer becomes party to the contract, even if coverage starts later.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Expert,What happens if recognition timing results in a negative contractual service margin (CSM)?,The CSM is deferred until profitability improves,The contract is classified as onerous immediately,The CSM is adjusted to zero,The insurer can delay recognition,The contract is classified as onerous immediately,A negative CSM means the contract is onerous and must be recognized as a loss immediately.,,,,,,,,,,,,
4,Recognition of Insurance Contracts,Expert,How does IFRS 17 handle recognition of reinsurance contracts held?,Same timing as direct insurance contracts,Only when ceded premiums are paid,When the reinsurance contract is signed,At the end of the reporting period,Same timing as direct insurance contracts,Reinsurance contracts held follow the same recognition timing rules as direct insurance contracts.,,,,,,,,,,,,
4,Recognition of Insurance Contracts,Expert," If a contract is recognized late, what is the impact on the contractual service margin (CSM)?",No impact,It may distort the allocation of CSM across coverage periods,It increases the CSM automatically,It eliminates the need for CSM,It may distort the allocation of CSM across coverage periods,"Late recognition can distort the allocation of CSM, affecting profit emergence across coverage periods.",,,,,,,,,,,,
4,Recognition of Insurance Contracts,Expert,"Under IFRS 17, how should recognition timing interact with risk adjustment measurement?",Risk adjustment is ignored at recognition,Risk adjustment is deferred until claims arise,Risk adjustment is applied only to onerous contracts,Risk adjustment is measured at recognition alongside fulfilment cash flows,Risk adjustment is measured at recognition alongside fulfilment cash flows,"At recognition, insurers measure risk adjustment together with fulfilment cash flows to reflect uncertainty in cash flows.",,,,,,,,,,,,
5,Measurement on Initial Recognition,Beginner,Which of the following is NOT a component of fulfilment cash flows?,Future cash flows,Discount rate,Risk adjustment,Insurance acquisition commission bonus pool,Insurance acquisition commission bonus pool,"The bonus pool is not part of fulfilment cash flows. The correct components are expected cash flows, discounting, and risk adjustment.",,,,,,,,,,,,
5,Measurement on Initial Recognition,Beginner,Which cash flows should be included in the measurement of the contract at initial recognition?,Past claims only,Cash flows related to investment returns,Future premiums and claim payments,Marketing expenses,Future premiums and claim payments,Fulfilment cash flows include expected future premiums and claims.,,,,,,,,,,,,
5,Measurement on Initial Recognition,Standard,"If the fulfilment cash flows are negative, what does IFRS 17 require?",Defer the difference,Recognize a loss immediately,Recognize a CSM,Reduce the asset balance,Recognize a loss immediately,Negative fulfilment cash flows indicate an onerous contract and a loss is recognized in profit or loss.,,,,,,,,,,,,
5,Measurement on Initial Recognition,Standard,What happens to a day 1 gain under IFRS 17?,Deferred in CSM,Recognized as revenue,Transferred to retained earnings,Recorded as OCI,Deferred in CSM,CSM defers day 1 gains and recognizes them over the service period.,,,,,,,,,,,,
5,Measurement on Initial Recognition,Beginner,Why is discounting applied to future cash flows?,To increase liabilities,To reflect time value of money,To reduce reporting volatility,To comply with IFRS 9,To reflect time value of money,Discounting reflects the time value of money.,,,,,,,,,,,,
5,Measurement on Initial Recognition,Standard,Which discount rate is used for initial measurement?,Zero coupon rate,Locked in discount rate,Market average rate,Prime lending rate,Locked in discount rate,The locked in rate at initial recognition is used to discount fulfilment cash flows and accrete CSM.,,,,,,,,,,,,
5,Measurement on Initial Recognition,Beginner,Which cost is not included in initial measurement?,Direct acquisition costs,Expected claims,Indirect administrative costs,Risk adjustment,Indirect administrative costs,Indirect administrative costs are excluded from initial measurement.,,,,,,,,,,,,
5,Measurement on Initial Recognition,Beginner,Which cost is typically excluded from fulfilment cash flows?,Advertising and marketing,Future claims,Premiums,Claim handling costs,Advertising and marketing,Marketing expenses are excluded under IFRS 17.,,,,,,,,,,,,
5,Measurement on Initial Recognition,Standard,Under which model is no CSM typically recognized?,GMM,PAA,VFA,Modified GMM,PAA,PAA does not require a CSM unless the contract is onerous.,,,,,,,,,,,,
5,Measurement on Initial Recognition,Expert,Which of the following is a valid reason to apply the Premium Allocation Approach at initial recognition?,It results in higher revenue,The contract has a coverage period of more than one year,The simplification does not significantly differ from GMM results,It avoids recognition of acquisition costs,The simplification does not significantly differ from GMM results,PAA is permitted where results do not materially differ from GMM.,,,,,,,,,,,,
